student_age,parent_education,school_quality,gender,minority_status,low_income_status,tutor_availability,tutoring_hours,academic_performance
9,27,3,1,0,1,10,38,160.11918312428725
12,30,8,1,0,1,10,45,189.9711434837011
12,30,10,1,0,0,6,37,158.45818123829252
13,28,7,0,0,1,10,40,168.08074164202105
11,29,1,0,0,1,8,40,167.02317524426252
11,30,3,1,1,1,7,40,164.7691695903137
8,36,6,1,1,1,4,39,163.4387452738477
11,28,6,1,1,0,13,41,170.26255460566065
9,26,8,0,1,0,11,43,182.93042641948892
8,27,5,0,1,0,9,42,177.54287414882893
7,28,11,0,1,1,9,38,164.78709367429465
8,25,6,0,1,1,10,40,171.87780712063235
8,35,13,0,0,0,9,42,177.65297108756803
9,30,11,0,1,0,6,35,152.833921738098
7,29,7,1,0,0,4,35,152.60812223197777
9,31,10,1,1,0,5,37,161.18555870995678
8,28,8,1,1,0,8,40,173.49585517104
13,29,14,0,0,1,9,42,181.1481190895402
9,27,6,1,1,1,9,39,167.80915672069784
10,26,0,0,0,0,9,38,159.0276006952006
10,31,8,0,1,1,9,38,160.1943541388712
6,28,12,0,0,1,11,38,168.17401885869833
10,28,13,1,1,1,10,43,181.86360157500863
5,30,12,1,1,1,9,36,159.04308601010848
3,30,10,0,0,1,7,36,159.3713954840309
4,33,11,1,1,1,8,38,165.3145539011908
9,33,5,1,0,1,11,45,184.82713069221535
9,28,3,1,0,0,12,40,167.6130913767862
18,34,7,0,0,1,8,43,173.0237439856482
8,32,7,1,1,1,8,38,162.83731446835918
11,34,6,1,0,0,9,41,170.13909173561063
10,28,7,1,1,1,10,37,156.66056994907476
9,31,9,0,1,0,12,41,171.03336017228435
10,27,2,1,1,1,6,39,164.72380362128447
11,32,3,0,0,0,8,43,177.5878519961326
13,30,9,1,1,0,7,39,162.71479052310357
10,31,7,0,0,1,3,36,153.8793028417772
6,32,8,1,1,1,4,37,158.9546020770407
10,30,7,1,1,0,8,39,163.81537031071488
12,36,5,0,0,0,10,40,162.38253415007523
6,31,8,1,1,1,9,38,165.9977406050758
6,30,12,1,0,1,6,37,163.6656407542695
11,30,11,0,0,0,9,38,164.90230751100273
9,29,8,1,0,1,10,41,174.05927905014636
5,30,6,1,0,1,12,39,167.30387534022867
13,29,8,0,1,1,9,40,164.74396288105717
10,31,8,1,0,1,4,37,159.19421434010005
9,28,6,0,1,1,10,41,173.25068824431656
10,26,7,0,0,0,7,36,153.54287652127462
6,33,4,0,0,0,9,38,159.8104811535627
15,33,3,1,0,1,11,41,164.05934096142104
7,33,7,1,0,1,4,36,155.91156525042086
15,31,8,0,0,0,10,42,173.33489612653082
7,29,6,0,1,0,10,39,163.37146635881618
9,24,8,1,1,0,9,39,166.82872155101427
9,35,8,1,0,0,7,40,169.09356676933135
11,29,5,1,0,0,10,43,179.9583116224956
12,30,8,1,1,1,8,40,167.3833721982878
10,31,6,1,0,1,10,42,174.0634002827773
11,29,9,0,1,0,8,40,167.84734898606746
10,27,4,0,0,0,11,41,173.90550976985853
7,25,8,0,1,1,9,37,162.50370736907013
10,27,12,0,0,1,12,42,181.9166868700608
4,27,5,1,1,0,10,40,173.97954113720638
5,29,8,0,1,0,11,38,162.95405566848265
9,25,11,0,1,0,10,41,177.57738457604177
12,29,11,1,1,0,5,38,164.11124401851055
8,28,9,1,0,1,11,40,171.15149460562873
9,30,11,1,0,0,10,41,175.6283138697309
11,34,3,0,1,1,9,41,169.1941272306445
7,30,6,0,1,0,8,38,159.81902784243067
10,28,9,1,0,1,9,40,172.0421484826545
9,30,7,1,0,0,6,35,150.87620719580542
9,35,2,1,1,1,10,40,161.54771212575466
8,30,6,1,1,1,7,38,160.30194865088234
11,29,4,1,1,1,7,38,160.134252436728
7,29,13,1,1,0,8,36,156.50087033681507
17,29,11,0,1,1,8,42,174.2748349700403
6,26,7,0,1,1,7,39,170.92007289346225
10,30,12,1,1,0,10,40,173.87824097362355
7,29,13,1,0,1,10,39,169.24136918608943
11,29,14,1,1,1,9,39,165.7760620012826
9,30,7,1,0,1,12,40,168.22536082539835
12,32,6,0,0,1,9,40,165.45963214816985
7,36,7,0,1,0,9,39,161.88630744681387
5,30,11,1,1,1,6,35,155.6479633378374
8,27,5,1,0,1,8,39,169.50143289804862
4,30,9,1,1,0,7,35,152.3157367860866
10,27,7,0,1,1,6,37,157.28462890360217
8,32,9,1,0,1,10,41,174.4449384905321
8,28,3,0,0,0,9,37,156.650809257565
12,27,6,1,0,0,7,40,169.2311043728562
12,31,4,0,1,1,6,39,161.31231078341992
9,30,10,1,0,1,8,37,159.01239899987942
9,29,11,1,0,1,5,35,155.68487471905664
8,30,9,1,1,0,8,38,163.43782520667284
11,28,5,1,0,1,9,41,172.29756045517496
7,30,3,0,0,1,12,39,164.46302664369867
9,31,6,0,1,1,8,39,165.04711259659922
6,33,4,0,0,1,11,41,169.66867559790697
8,27,7,0,0,0,8,37,157.99634147998427
5,28,6,1,0,0,7,37,163.25686021850154
7,30,14,0,1,1,5,38,166.82649111140103
7,28,5,1,0,0,11,39,167.47027495230336
9,27,5,1,0,1,10,43,182.4197211800142
7,30,6,0,0,0,9,40,170.9912847559874
8,32,3,0,0,0,10,41,169.72343524283397
9,29,3,1,1,0,9,38,160.39004879475442
12,29,5,1,1,0,8,40,166.7483249879433
11,30,3,1,0,1,8,40,171.02408096856936
12,31,7,1,1,1,8,41,168.29285160969147
16,27,8,0,1,1,8,43,177.68436845497953
10,33,8,1,1,1,4,39,164.56963943628776
11,29,7,1,0,0,5,38,162.9156474134918
16,31,11,0,1,1,9,43,181.43704054633903
9,34,4,1,0,1,10,38,159.27965578842424
6,29,6,1,0,1,9,39,167.13425639438236
9,29,6,1,1,1,7,37,155.35858448119276
9,30,7,1,0,0,11,41,173.28435066808217
12,30,10,0,1,1,4,36,152.14453401238242
9,29,12,0,1,1,8,40,171.81695765829778
15,31,7,0,1,0,9,41,171.10322456577987
9,29,7,1,1,0,8,40,170.71105488069384
13,31,6,0,0,0,7,40,168.59454922942064
9,26,2,0,0,1,9,41,174.28691392518843
9,28,11,1,0,1,8,38,166.19850299557143
11,32,10,1,0,0,10,40,169.6184239659151
4,27,6,1,1,0,8,39,170.66855373133114
11,33,14,1,1,1,8,43,183.1900202040566
14,27,2,1,1,1,10,43,175.575034987015
14,29,13,0,0,1,9,39,167.6346488167414
13,32,4,0,0,0,9,42,173.710007418225
14,32,8,0,0,0,9,39,163.2947163821502
11,32,11,0,1,0,10,40,168.60633756459254
8,27,4,1,0,1,10,40,170.84261151228554
4,31,13,1,0,1,8,37,161.1718531014966
11,29,6,0,0,1,10,38,160.4066823083782
11,30,6,1,1,0,10,40,166.00333116914052
6,31,5,1,1,0,10,38,160.1585045271618
14,34,5,0,0,1,9,43,173.03253831345174
11,30,8,1,1,0,12,41,173.2100215346396
8,29,2,1,1,0,10,42,175.3003168072939
10,27,3,1,0,1,7,38,163.11931466238195
9,32,9,0,1,1,7,38,161.48887256498065
13,34,13,1,1,1,8,40,169.76411192756618
8,31,4,1,1,1,7,39,162.14063481468415
12,25,13,0,1,0,9,37,160.68207972852906
10,30,7,1,1,1,11,40,168.733451126911
5,30,7,1,1,0,11,37,158.60182425323137
14,31,9,0,1,0,8,42,174.20523456961487
7,30,14,1,1,1,9,39,169.42629822940066
11,28,10,1,1,0,9,40,171.4476507692034
10,26,0,0,0,0,8,39,163.75789371406967
14,31,13,1,1,1,6,40,169.8167571201997
9,29,9,1,1,0,8,40,173.69949615976188
12,32,10,0,1,0,9,43,178.7461220096989
5,24,7,0,0,0,6,35,155.89618856075472
11,34,10,0,0,1,8,38,157.8972456447629
7,31,8,1,1,1,8,36,154.8907646191335
10,34,4,1,0,0,7,41,170.3052815993453
8,27,6,1,0,1,9,39,169.39550360717163
11,28,7,1,1,0,11,41,171.7730632385315
17,31,7,0,1,0,5,42,174.1789377332517
9,30,8,0,0,1,7,39,165.69114906255962
11,32,10,1,0,0,9,39,165.32663457157085
9,29,4,0,0,0,5,38,161.07539271963407
11,31,6,0,0,0,11,40,167.80378495019534
9,32,10,1,1,1,7,39,165.59037805117904
9,28,5,0,0,1,10,39,165.32426566501928
12,26,6,1,1,1,5,38,161.73248355003054
14,27,6,1,1,0,7,38,160.2991479600665
11,30,5,0,0,1,13,44,178.43115460446904
12,28,6,1,0,1,11,39,162.8312611466299
10,28,6,0,0,0,10,39,164.69695470776904
9,28,8,0,1,1,6,37,161.72539435307675
9,28,5,1,1,1,5,36,154.42864553457608
10,30,3,1,0,1,6,38,158.9572952431302
11,31,2,0,1,0,10,39,159.42511772195982
11,29,4,1,0,0,11,42,175.84800074999805
13,29,5,1,1,0,9,42,175.6023058446543
11,32,9,0,0,0,8,39,163.8389379642389
4,30,3,0,1,1,10,40,169.944228419734
8,30,0,1,1,0,10,39,164.72164604427743
17,29,5,1,1,1,9,42,174.2112875159527
9,30,13,1,0,1,11,43,184.6242518875491
10,28,5,1,1,1,8,39,165.06487097827917
9,32,7,1,1,0,10,40,169.0028484042746
9,26,11,0,1,0,9,41,176.2879152566094
12,32,8,1,1,0,7,40,168.21946235075353
7,28,9,1,1,1,9,39,167.998276782946
14,30,3,1,0,1,7,40,164.26183624388472
10,33,6,0,0,1,7,39,166.97459518373367
12,30,3,0,0,0,4,36,150.27347970719464
8,31,6,0,1,1,7,41,172.55458408509998
9,26,8,1,1,0,7,39,168.71057885270915
7,27,10,0,0,0,9,39,171.1951701472031
11,29,6,1,1,1,4,37,156.69154202687577
6,32,4,1,1,1,8,35,149.74660478554995
9,29,3,0,0,1,7,40,170.47134330625798
5,33,10,1,0,1,6,35,153.04423198933324
12,28,8,1,1,0,7,39,166.3122639189521
9,28,8,1,1,0,9,39,170.70742460767792
13,32,8,1,0,1,9,40,166.1253329123335
7,32,7,1,1,1,9,40,166.3692919590083
13,30,5,1,0,1,12,42,174.43854163493694
7,30,8,0,1,1,10,38,163.93415784141885
9,33,2,0,1,1,9,38,155.68062494269017
9,32,8,1,1,1,5,37,158.50487872832758
8,31,11,0,1,0,8,41,176.08004616827296
6,29,8,1,1,1,9,40,173.5059451757127
13,31,8,1,1,1,8,40,168.98523621193556
6,30,10,1,1,0,8,38,165.50458858461457
6,32,8,1,1,0,7,38,163.99304571085548
8,30,11,1,1,0,7,37,159.3540402862473
14,26,9,0,0,1,7,43,182.1709898397129
15,30,6,1,1,0,8,41,168.23715265735484
2,29,8,1,0,1,12,40,173.43653082496726
10,29,6,0,0,0,10,41,171.29846325936307
7,32,10,1,1,0,11,38,159.47810650490777
11,29,10,1,1,1,6,39,167.9458811672349
10,31,6,1,1,1,8,41,170.46198470343967
12,32,6,0,1,1,11,43,175.48913676324895
13,27,7,0,1,1,9,40,168.65921455331323
9,27,5,1,0,0,10,40,172.55417923779476
10,31,11,0,1,0,5,38,162.51781591344886
14,30,6,1,0,1,9,40,167.145941870218
10,31,7,0,0,1,8,38,159.78494544296956
9,28,4,1,1,1,5,38,158.8362303404787
9,31,8,1,1,0,6,37,156.3029560156947
8,30,7,1,1,0,9,39,167.2071435773947
9,29,1,1,1,1,9,39,163.17922700493446
10,30,0,0,0,0,10,41,170.3882480897446
7,29,7,1,0,1,11,39,166.953756811467
9,27,4,1,0,1,12,43,180.7358973234876
7,28,5,1,0,1,8,38,164.5274508182045
13,30,13,1,1,1,10,41,172.43825509682318
13,32,10,0,1,0,8,42,174.3913270275213
8,30,7,1,1,1,8,38,161.35960663288927
7,32,3,0,0,0,9,38,159.2767072875012
12,26,2,0,1,1,8,40,169.0435150223102
8,29,10,0,1,0,9,41,177.37054108035488
15,29,9,0,0,1,9,39,163.7489177251746
8,30,10,1,0,0,11,41,177.5877950771832
10,29,2,0,0,1,10,42,173.21410995227734
12,32,11,1,0,1,7,39,168.86060914731695
6,27,10,1,1,0,6,36,163.65925466000004
4,30,3,0,1,0,7,38,158.9673766790991
8,30,6,1,1,1,12,42,175.1976733941056
6,30,7,1,1,0,4,33,144.18574934722042
10,30,3,0,1,1,7,40,168.55203243609833
7,26,1,0,1,1,6,38,162.8685320975263
9,29,5,0,0,1,4,39,166.57395203199764
12,31,11,1,1,0,6,40,169.3525184600025
13,28,15,1,1,0,8,41,175.0272809215269
9,32,8,0,1,1,7,39,161.31301129592404
10,32,15,1,1,1,9,42,176.91820693723045
7,31,7,1,0,1,13,43,180.8443645247268
15,32,11,1,1,0,9,41,172.27391022687894
11,28,5,1,1,1,7,39,163.5326335599545
12,28,8,1,1,0,9,41,173.09716114708775
9,29,4,0,1,1,8,38,156.6866268817222
14,33,11,1,0,0,5,38,161.2241812564712
8,31,10,0,1,1,10,39,163.60723595191826
11,32,10,0,1,1,7,42,177.7153628681665
9,26,5,0,1,0,8,38,159.35300999076327
10,28,11,1,1,1,9,42,177.78130203403282
17,29,7,1,1,0,8,39,160.7330472665726
12,30,3,1,0,0,11,40,165.6540709177341
9,28,7,1,0,0,10,41,178.24620780097436
9,28,6,0,1,1,8,38,159.8098153922333
11,25,5,1,1,1,9,43,179.8288605672641
14,29,4,1,0,0,8,41,171.08582814592913
6,30,11,0,1,0,9,39,168.4255100787365
9,29,7,1,0,1,3,37,159.58744158365985
8,29,8,1,1,0,5,37,160.9648577929257
10,28,8,0,0,1,9,39,167.3685935097481
11,32,7,1,1,0,8,39,164.83921647099532
10,27,5,1,0,1,9,40,168.51382648607526
15,28,7,0,0,1,10,43,178.53474990372612
10,29,4,1,1,1,7,38,160.64351582944812
8,29,6,1,0,1,9,40,170.3423804013321
8,31,7,0,1,1,13,39,161.4569012069706
13,30,6,0,0,1,9,43,179.8298080511494
11,29,4,1,0,0,7,37,157.12451142103683
11,28,4,0,1,0,8,40,168.24419191306288
12,27,8,0,0,1,13,44,184.85922495251305
16,28,12,0,1,0,10,43,179.6081618991808
13,28,6,0,0,1,14,41,171.7743952353297
5,29,11,1,0,0,11,37,162.4990789335321
7,29,9,0,0,0,11,37,160.15345838706855
14,30,9,1,0,0,7,40,171.10302871472115
5,35,10,0,0,1,8,38,164.18270793572214
10,29,15,1,1,1,9,39,169.45374571727947
10,29,6,1,1,0,13,41,171.5539271079443
10,26,15,1,1,1,10,37,161.49007396937606
8,26,6,0,0,0,8,37,160.4690825708982
7,32,11,1,1,0,9,39,167.796790115351
13,30,2,1,0,0,9,39,162.65422970059245
12,31,11,0,1,0,8,38,159.93224431391332
7,30,8,1,0,0,10,39,165.3247145750022
10,28,3,1,1,1,9,42,174.5469985926476
13,26,4,1,1,0,9,43,177.56647779213904
10,30,7,1,1,0,8,38,160.4783614361388
11,29,14,1,1,0,10,37,160.04185765914852
14,32,9,0,0,0,10,42,172.12606291683932
7,30,7,0,0,1,10,39,164.49002613806118
17,32,6,0,0,1,9,43,173.94247205935773
3,27,12,0,1,0,9,35,156.63598476244124
11,29,11,1,0,1,12,43,180.639499500782
9,29,10,1,0,1,9,39,168.56829964002014
9,30,6,0,0,1,6,38,157.6020019688096
12,26,5,1,0,1,11,42,177.8919911561334
8,31,7,1,0,0,8,41,175.32769726705018
8,28,7,1,1,0,8,39,168.5233665531682
9,28,7,0,1,0,8,39,165.0094121764241
9,28,7,0,0,1,8,38,163.1509866043021
5,30,9,0,1,1,8,39,166.2824893061376
14,28,5,0,1,1,11,39,161.3840970932288
10,32,7,0,1,1,10,43,178.9313095998655
11,27,4,0,1,0,10,42,174.72942002435073
4,29,9,1,1,0,12,41,179.14629915362113
10,28,11,0,1,0,8,40,170.80426824856545
9,32,9,0,0,0,11,42,175.35244322105663
6,27,7,1,0,1,11,38,163.60821978428731
10,31,7,1,0,0,8,38,161.73066060455685
4,27,0,1,0,1,6,36,153.02463960828328
5,34,6,1,0,0,3,38,165.20180104746348
9,31,5,1,1,1,7,39,164.403092816946
11,32,7,0,0,0,7,39,163.13754852911524
9,27,5,0,0,1,12,39,164.2300684599227
14,30,12,0,0,0,11,43,181.76769846100493
7,30,4,1,1,0,10,39,162.7999349043041
11,25,6,0,0,1,10,41,172.60705227988197
11,32,10,0,1,1,9,42,175.9888898045351
9,32,8,1,1,1,8,42,176.8204416791962
13,29,8,0,1,1,8,40,166.28160303592043
6,32,9,1,1,0,8,38,159.51242083647227
11,30,6,1,1,0,5,39,163.28104264223825
6,28,6,0,0,1,9,38,163.14012908988616
4,27,6,1,1,0,9,41,178.28538266758449
11,31,6,0,0,1,8,40,169.17289043916085
14,29,9,0,1,0,10,41,172.99582147932307
11,32,12,1,0,1,9,39,165.2675372929386
14,29,13,1,0,0,10,42,179.56595891752946
8,33,5,0,0,1,6,35,148.8474446090529
8,34,9,1,0,1,5,36,154.18283323449157
6,30,3,1,1,0,8,39,163.99204868151529
2,30,4,1,1,1,8,38,165.57354841144286
9,29,4,1,1,0,9,41,170.57664142762914
6,29,7,0,1,1,7,40,170.73697438371306
10,29,10,1,0,1,8,37,160.38977881913533
5,28,12,1,0,0,7,37,165.79381464230087
7,30,9,1,1,0,6,39,168.5891405332392
5,26,4,0,1,0,14,38,159.4770968462807
8,30,3,1,1,1,8,40,166.44333734903185
12,30,12,1,1,0,13,42,178.51240652931534
13,33,2,1,1,1,9,42,168.16171675065578
9,31,15,0,0,0,8,40,173.53901484623552
12,28,8,0,1,0,11,42,175.4125403424331
10,28,0,0,0,1,8,39,162.803764171964
10,32,10,1,1,1,10,42,174.97645935056306
12,29,9,0,1,1,13,41,171.96137457704336
6,27,5,1,0,1,11,40,171.178418957052
12,27,7,1,1,1,6,39,167.02351283866162
14,31,8,1,1,1,4,41,171.85541556159717
3,31,10,0,0,1,10,39,172.5350658383004
8,27,3,0,0,0,6,36,155.40343972371713
8,28,5,0,1,1,10,40,169.72095167783138
9,28,7,1,1,1,6,38,163.27601677068498
12,30,4,0,0,1,9,39,163.45517007026928
9,30,9,1,1,1,9,41,174.30108571063835
9,27,1,1,1,1,9,39,162.70485642603543
7,29,5,1,1,0,9,37,156.8595042677532
11,28,14,0,1,1,9,39,168.12294905939822
14,31,12,1,1,0,6,42,177.4129634016014
5,29,11,1,1,1,7,37,163.9157560603654
10,27,6,0,0,0,6,41,176.6623108281395
6,28,8,1,1,1,10,40,172.08496468565804
9,34,4,1,0,1,11,40,166.4595914944674
11,29,7,1,0,0,11,42,175.9482772367119
12,31,8,1,0,0,10,41,170.1710035626025
12,27,6,0,0,1,12,44,182.76637215493
10,29,11,1,0,0,8,41,175.57193402878738
11,30,1,1,1,1,11,42,172.03486781017637
10,29,12,1,0,1,9,39,168.68121611081
11,28,8,1,1,1,7,38,161.12205142588675
10,27,6,1,0,0,7,36,156.37077929079595
11,27,5,0,0,1,8,41,173.48076235190246
10,29,5,0,1,0,11,41,170.34684818093575
10,33,6,1,1,1,9,42,175.61390283544517
11,28,7,1,0,0,10,38,161.41563705355338
8,27,9,1,0,0,10,37,159.63486521887924
7,33,8,1,1,1,6,39,165.88562637300598
5,30,7,1,0,0,10,35,152.1777673010492
14,28,5,0,0,1,4,40,169.00501718640632
9,25,5,1,1,1,10,40,169.74416225248626
9,31,3,1,0,1,8,42,176.58876964650497
14,31,9,0,1,0,11,40,167.05163405153473
16,27,15,1,0,0,6,41,177.09521339987344
10,27,10,1,0,1,10,38,164.8400841659721
17,27,8,1,0,1,8,40,166.7420912425235
5,27,7,1,1,1,12,40,171.443833054584
15,28,7,1,1,1,8,41,171.09769413210876
12,29,9,1,0,1,10,39,165.8458779770395
4,28,6,1,0,1,11,38,166.51009633231905
14,31,7,1,1,1,11,42,170.7140915619255
7,28,7,1,1,0,10,41,174.4627955473105
