school_id,academic_year,e_learning_implemented,average_test_score,average_class_size,school_funding,urban_location,high_school_level
5,9,1,52.75831008491886,5,10,1,0
6,0,0,46.46731345074262,5,6,1,0
6,1,0,45.39235901389164,5,6,1,0
6,2,0,48.23221035614274,5,6,1,0
6,3,0,46.602018353926375,5,6,1,0
6,4,0,43.56729059028213,5,6,1,0
6,5,0,48.5299694050631,5,6,1,0
6,6,0,44.98915908962378,5,6,1,0
6,7,0,46.462218980583565,5,6,1,0
6,8,0,46.46934369512768,5,6,1,0
6,9,1,54.1838892045712,5,6,1,0
7,0,0,47.13164971918974,7,6,0,1
7,1,0,46.84412372516796,7,6,0,1
7,2,0,47.52061368805333,7,6,0,1
7,3,0,48.62613341603978,7,6,0,1
7,4,0,46.1808792618136,7,6,0,1
7,5,0,45.81030835681805,7,6,0,1
7,6,1,54.11308637517508,7,6,0,1
7,7,1,55.81727171799063,7,6,0,1
7,8,1,56.086600692928776,7,6,0,1
7,9,1,55.09289134364699,7,6,0,1
8,0,0,48.08588192850303,6,7,0,1
8,1,0,47.6674772376842,6,7,0,1
8,2,0,47.67532310196735,6,7,0,1
8,3,1,57.65377067097931,6,7,0,1
8,4,1,52.6966401593791,6,7,0,1
8,5,1,58.2637091072044,6,7,0,1
8,6,1,57.458537537173626,6,7,0,1
8,7,1,55.13936047678717,6,7,0,1
8,8,1,56.41170777927749,6,7,0,1
8,9,1,57.68552437126358,6,7,0,1
9,0,0,46.97393401600808,2,5,1,0
9,1,0,47.73501432093973,2,5,1,0
9,2,0,47.17603032574522,2,5,1,0
9,3,0,48.56001620068523,2,5,1,0
9,4,0,42.61830667886385,2,5,1,0
9,5,0,48.17949712393854,2,5,1,0
9,6,0,46.34927920168565,2,5,1,0
9,7,0,45.48833616891958,2,5,1,0
9,8,1,57.62857660576594,2,5,1,0
9,9,1,54.942052195823166,2,5,1,0
10,0,0,47.599684655123205,6,6,0,1
10,1,0,48.26378849800571,6,6,0,1
10,2,0,46.25227074087872,6,6,0,1
10,3,0,46.32745862187267,6,6,0,1
10,4,0,47.14425483387518,6,6,0,1
10,5,0,47.41369076504551,6,6,0,1
10,6,0,45.57107535082911,6,6,0,1
10,7,0,48.0244485690597,6,6,0,1
10,8,0,47.637883525876845,6,6,0,1
10,9,0,46.109144906661,6,6,0,1
11,0,0,47.91615496398728,4,7,0,1
11,1,0,48.85179523097083,4,7,0,1
11,2,0,49.97047891692176,4,7,0,1
11,3,1,58.69792251383288,4,7,0,1
11,4,1,51.62014866828624,4,7,0,1
11,5,1,57.9118651120942,4,7,0,1
11,6,1,57.538065357011774,4,7,0,1
11,7,1,56.53667239243349,4,7,0,1
11,8,1,56.64980133217998,4,7,0,1
11,9,1,56.03086523906024,4,7,0,1
12,0,0,47.96450930462411,0,14,1,1
12,1,0,48.60264539751696,0,14,1,1
12,2,0,48.27152150129079,0,14,1,1
12,3,0,48.8504793638705,0,14,1,1
12,4,0,46.19398016357377,0,14,1,1
12,5,0,48.0845883988383,0,14,1,1
12,6,0,48.28227984773368,0,14,1,1
12,7,0,45.99591301140239,0,14,1,1
12,8,0,49.50946787299745,0,14,1,1
12,9,0,47.11847445039815,0,14,1,1
13,0,0,47.29506502764291,5,5,1,0
13,1,0,48.29031523819009,5,5,1,0
13,2,0,47.73725630203899,5,5,1,0
13,3,0,49.35109091621612,5,5,1,0
13,4,0,42.267623447038574,5,5,1,0
13,5,0,46.69482240959256,5,5,1,0
13,6,0,47.795006563130265,5,5,1,0
13,7,0,47.79418456775772,5,5,1,0
13,8,0,49.28096625801379,5,5,1,0
13,9,0,49.64241446248766,5,5,1,0
14,0,0,47.50687540913408,7,9,1,0
14,1,0,48.83186954008053,7,9,1,0
14,2,0,49.13475272837337,7,9,1,0
14,3,0,49.18871299928271,7,9,1,0
14,4,0,47.66172295180127,7,9,1,0
14,5,0,48.72233011294536,7,9,1,0
14,6,0,47.9759381430891,7,9,1,0
14,7,0,48.14867261078521,7,9,1,0
14,8,1,56.95452423809049,7,9,1,0
14,9,1,56.52202774341925,7,9,1,0
15,0,0,45.95255538748695,3,6,0,1
15,1,0,47.06710224468181,3,6,0,1
15,2,0,47.17796900036207,3,6,0,1
15,3,0,45.86242045426927,3,6,0,1
15,4,0,42.171319287114734,3,6,0,1
15,5,0,47.69836285831947,3,6,0,1
15,6,0,44.01073709201453,3,6,0,1
15,7,0,45.46589686858599,3,6,0,1
15,8,0,47.0881233942756,3,6,0,1
15,9,0,46.40412574673945,3,6,0,1
16,0,0,47.50881630859551,4,8,0,0
16,1,0,48.20396804457925,4,8,0,0
16,2,0,47.72383725063716,4,8,0,0
16,3,0,51.19231975948088,4,8,0,0
16,4,0,45.208874235730114,4,8,0,0
16,5,1,57.05252415392575,4,8,0,0
16,6,1,55.028670404389565,4,8,0,0
16,7,1,55.20533860107398,4,8,0,0
16,8,1,55.874408794832895,4,8,0,0
16,9,1,56.442309226137866,4,8,0,0
17,0,0,48.27018629335104,3,6,1,1
17,1,0,48.2930680184144,3,6,1,1
17,2,1,57.26909094373747,3,6,1,1
17,3,1,57.247068071025566,3,6,1,1
17,4,1,52.706791411897925,3,6,1,1
17,5,1,56.98378777168209,3,6,1,1
17,6,1,54.92317783719211,3,6,1,1
17,7,1,55.31431182796011,3,6,1,1
17,8,1,55.19918696253063,3,6,1,1
17,9,1,54.45704061282118,3,6,1,1
18,0,0,48.29291584197552,2,9,0,0
18,1,0,47.84894792564205,2,9,0,0
18,2,0,47.981249385677714,2,9,0,0
18,3,0,47.61144958903573,2,9,0,0
18,4,0,46.14439918139087,2,9,0,0
18,5,0,50.2881721728471,2,9,0,0
18,6,1,55.56728790728812,2,9,0,0
18,7,1,56.13061130102137,2,9,0,0
18,8,1,55.13865512320616,2,9,0,0
18,9,1,57.3625262695282,2,9,0,0
19,0,0,46.89960632427529,1,8,1,1
19,1,0,47.08069477499834,1,8,1,1
19,2,0,46.969001902620526,1,8,1,1
19,3,0,47.808657696884566,1,8,1,1
19,4,0,45.28015156407757,1,8,1,1
19,5,0,47.72048678582123,1,8,1,1
19,6,0,46.07757934435226,1,8,1,1
19,7,0,46.27742476467272,1,8,1,1
19,8,0,46.60746970913188,1,8,1,1
19,9,0,45.95624688159717,1,8,1,1
20,0,0,46.14833890512546,2,13,1,0
20,1,0,48.60722695785604,2,13,1,0
20,2,0,49.88016293834406,2,13,1,0
20,3,0,48.170540805997966,2,13,1,0
20,4,0,45.55368088533949,2,13,1,0
20,5,0,48.62991176711573,2,13,1,0
20,6,0,47.70056078585868,2,13,1,0
20,7,0,48.1856174293006,2,13,1,0
20,8,0,47.44716543022689,2,13,1,0
20,9,1,55.055631740169545,2,13,1,0
21,0,0,48.495912475059534,3,12,1,0
21,1,0,48.51304873193443,3,12,1,0
21,2,0,47.82835313983168,3,12,1,0
21,3,0,51.658421163777454,3,12,1,0
21,4,0,46.272419786531465,3,12,1,0
21,5,0,48.796603015244656,3,12,1,0
21,6,0,48.28136711683751,3,12,1,0
21,7,0,49.11674553612616,3,12,1,0
21,8,0,49.45288921731229,3,12,1,0
21,9,1,56.89010274621222,3,12,1,0
22,0,0,48.92355506711852,5,8,1,1
22,1,0,49.458622328876224,5,8,1,1
22,2,0,48.61406646178485,5,8,1,1
22,3,1,59.806923603457655,5,8,1,1
22,4,1,53.69285946347454,5,8,1,1
22,5,1,57.508790236207375,5,8,1,1
22,6,1,57.93749598318827,5,8,1,1
22,7,1,56.6987612853144,5,8,1,1
22,8,1,58.01110930809779,5,8,1,1
22,9,1,57.42573178375396,5,8,1,1
23,0,0,50.4425808313715,3,10,1,1
23,1,0,50.508251307673696,3,10,1,1
23,2,0,48.96332335222072,3,10,1,1
23,3,0,48.78965286536064,3,10,1,1
23,4,0,45.59106700327519,3,10,1,1
23,5,0,49.470944592346726,3,10,1,1
23,6,0,50.48078242394255,3,10,1,1
23,7,0,47.67890798982231,3,10,1,1
23,8,0,49.93826858391061,3,10,1,1
23,9,0,50.03859583644251,3,10,1,1
24,0,0,47.128737697429486,5,8,1,1
24,1,0,47.7403211743925,5,8,1,1
24,2,0,46.77669153252661,5,8,1,1
24,3,0,49.34235170930688,5,8,1,1
24,4,0,44.86507988667292,5,8,1,1
24,5,0,47.76824162644735,5,8,1,1
24,6,0,47.48363729314677,5,8,1,1
24,7,0,46.70021727986159,5,8,1,1
24,8,0,47.72125627811108,5,8,1,1
24,9,0,47.36623085871671,5,8,1,1
25,0,0,45.89159709953256,3,11,1,1
25,1,0,47.029445811335016,3,11,1,1
25,2,0,47.241586777570895,3,11,1,1
25,3,0,48.33894204091222,3,11,1,1
25,4,0,43.322589671618005,3,11,1,1
25,5,1,57.12949408886431,3,11,1,1
25,6,1,54.40983796034995,3,11,1,1
25,7,1,54.33369229700594,3,11,1,1
25,8,1,55.09182491447218,3,11,1,1
25,9,1,55.09139084210727,3,11,1,1
26,0,0,48.0552022386148,4,8,1,0
26,1,0,49.10779970592272,4,8,1,0
26,2,0,48.31426112113285,4,8,1,0
26,3,0,49.50835181833177,4,8,1,0
26,4,0,45.51940628617997,4,8,1,0
26,5,0,47.93721951731547,4,8,1,0
26,6,0,49.57056238009712,4,8,1,0
26,7,0,45.40939078288687,4,8,1,0
26,8,0,47.21147900797619,4,8,1,0
26,9,0,48.18838157014933,4,8,1,0
27,0,0,48.48899006787023,4,7,1,0
27,1,0,48.83564400854012,4,7,1,0
27,2,1,56.57134280743655,4,7,1,0
27,3,1,58.67434027709712,4,7,1,0
27,4,1,54.8751721025883,4,7,1,0
27,5,1,55.91495586174775,4,7,1,0
27,6,1,57.12162885648523,4,7,1,0
27,7,1,56.40483026038533,4,7,1,0
27,8,1,56.30772086593363,4,7,1,0
27,9,1,55.67059042070126,4,7,1,0
28,0,0,45.99273520674583,5,5,1,1
28,1,0,48.51999008641888,5,5,1,1
28,2,0,46.72123450182835,5,5,1,1
28,3,1,57.7546043207634,5,5,1,1
28,4,1,54.121987646216304,5,5,1,1
28,5,1,56.06100499599356,5,5,1,1
28,6,1,55.637919557182,5,5,1,1
28,7,1,56.668216945069005,5,5,1,1
28,8,1,55.39850388039408,5,5,1,1
28,9,1,54.59270153998752,5,5,1,1
29,0,0,44.6676937633327,0,11,1,1
29,1,0,46.55641554266713,0,11,1,1
29,2,0,43.70031571116947,0,11,1,1
29,3,0,44.60787320334076,0,11,1,1
29,4,0,41.535127461733,0,11,1,1
29,5,1,54.63706392200838,0,11,1,1
29,6,1,53.20914638868523,0,11,1,1
29,7,1,52.98233390686695,0,11,1,1
29,8,1,54.779694481640206,0,11,1,1
29,9,1,53.73084237095195,0,11,1,1
30,0,0,48.18585668127849,3,5,1,1
30,1,0,48.42472995291734,3,5,1,1
30,2,0,48.62672748158703,3,5,1,1
30,3,0,47.76441619850193,3,5,1,1
30,4,0,46.487684267727154,3,5,1,1
30,5,0,48.76782536359356,3,5,1,1
30,6,0,45.18072356934032,3,5,1,1
30,7,0,47.725095717350776,3,5,1,1
30,8,0,46.97127740979132,3,5,1,1
30,9,0,47.4083875813833,3,5,1,1
31,0,0,46.24290971127584,1,12,1,0
31,1,0,45.68216788446573,1,12,1,0
31,2,0,46.863734756968,1,12,1,0
31,3,0,47.566189014345376,1,12,1,0
31,4,0,43.404659800796615,1,12,1,0
31,5,0,45.205245002162,1,12,1,0
31,6,0,46.67250578773664,1,12,1,0
31,7,0,46.67853949094032,1,12,1,0
31,8,0,48.12748167729323,1,12,1,0
31,9,0,46.742173525337805,1,12,1,0
32,0,0,49.42244551583312,2,10,1,1
32,1,0,48.89718525847261,2,10,1,1
32,2,0,48.13606515164997,2,10,1,1
32,3,0,48.83852627931372,2,10,1,1
32,4,0,45.337599250429626,2,10,1,1
32,5,0,48.04294525080893,2,10,1,1
32,6,1,56.37900488018192,2,10,1,1
32,7,1,55.10672237658694,2,10,1,1
32,8,1,56.54111938512252,2,10,1,1
32,9,1,56.91489378504218,2,10,1,1
33,0,0,49.44673468200422,4,7,0,0
33,1,0,48.841346728949695,4,7,0,0
33,2,0,50.19669602592084,4,7,0,0
33,3,0,53.42273691997827,4,7,0,0
33,4,0,47.72132470142599,4,7,0,0
33,5,0,50.72454899190327,4,7,0,0
33,6,0,50.58609484140501,4,7,0,0
33,7,0,50.50783588256856,4,7,0,0
33,8,0,49.87049594920114,4,7,0,0
33,9,0,50.55127162720296,4,7,0,0
34,0,0,48.065540454801386,3,4,1,1
34,1,0,46.945462088432926,3,4,1,1
34,2,0,44.822307062207074,3,4,1,1
34,3,0,46.97450713280175,3,4,1,1
34,4,0,45.56206709708563,3,4,1,1
34,5,0,47.37669978547064,3,4,1,1
34,6,0,46.83349427664939,3,4,1,1
34,7,0,47.90562694605054,3,4,1,1
34,8,0,46.83833516734872,3,4,1,1
34,9,0,46.490451643940425,3,4,1,1
35,0,0,48.70389876554293,5,10,1,1
35,1,1,58.21333082479892,5,10,1,1
35,2,1,56.60386105100672,5,10,1,1
35,3,1,57.925503282201895,5,10,1,1
35,4,1,56.15562983606418,5,10,1,1
35,5,1,59.23562090569816,5,10,1,1
35,6,1,57.6598864624116,5,10,1,1
35,7,1,57.35603754559449,5,10,1,1
35,8,1,57.43876635580139,5,10,1,1
35,9,1,55.13939452088423,5,10,1,1
36,0,0,47.25593258795205,2,10,1,1
36,1,0,47.84271535482246,2,10,1,1
36,2,0,47.951252267694265,2,10,1,1
36,3,0,49.057866199212704,2,10,1,1
36,4,0,48.64499061052571,2,10,1,1
36,5,0,49.2492785625664,2,10,1,1
36,6,0,46.50017767764457,2,10,1,1
36,7,1,58.48729267199459,2,10,1,1
36,8,1,58.38146671960462,2,10,1,1
36,9,1,56.37005471243295,2,10,1,1
37,0,0,47.60859798193095,3,9,0,1
37,1,0,49.23146923108527,3,9,0,1
37,2,1,56.98591020339367,3,9,0,1
37,3,1,56.49700161976221,3,9,0,1
37,4,1,54.630441452398834,3,9,0,1
37,5,1,57.16448089058569,3,9,0,1
37,6,1,56.44261856398655,3,9,0,1
37,7,1,56.3262892719426,3,9,0,1
37,8,1,58.11065522678282,3,9,0,1
37,9,1,54.91166994428707,3,9,0,1
38,0,0,50.88316490781157,5,7,1,0
38,1,0,49.271730834726846,5,7,1,0
38,2,0,48.60106309705039,5,7,1,0
38,3,0,50.30031526252905,5,7,1,0
38,4,0,47.44444031064956,5,7,1,0
38,5,0,50.37934903222519,5,7,1,0
38,6,0,48.540676607010965,5,7,1,0
38,7,1,56.61938649379751,5,7,1,0
38,8,1,57.46341299637328,5,7,1,0
38,9,1,56.691159410175366,5,7,1,0
39,0,0,49.06843002687842,4,7,0,1
39,1,0,48.67663612668037,4,7,0,1
39,2,0,48.47093532037948,4,7,0,1
39,3,0,48.70026342388935,4,7,0,1
39,4,0,44.32929034662992,4,7,0,1
39,5,0,49.0264214381634,4,7,0,1
39,6,0,47.54317202737308,4,7,0,1
39,7,0,46.12900486533882,4,7,0,1
39,8,0,48.5783115711035,4,7,0,1
39,9,0,48.58083247136677,4,7,0,1
40,0,0,49.154113667254045,6,5,1,1
40,1,0,49.79526654354002,6,5,1,1
40,2,0,47.78837953910058,6,5,1,1
40,3,0,50.16740440683356,6,5,1,1
40,4,0,45.3386013092061,6,5,1,1
40,5,0,48.17195536889548,6,5,1,1
40,6,0,47.192962424456695,6,5,1,1
40,7,1,55.94172742460549,6,5,1,1
40,8,1,57.625236118480245,6,5,1,1
40,9,1,56.37957283181543,6,5,1,1
41,0,0,43.89870876295775,5,9,1,0
41,1,1,53.84944395770904,5,9,1,0
41,2,1,53.03709442534644,5,9,1,0
41,3,1,54.74457624922984,5,9,1,0
41,4,1,51.106105786840295,5,9,1,0
41,5,1,54.899707022510775,5,9,1,0
41,6,1,52.16125077224729,5,9,1,0
41,7,1,53.75158501211093,5,9,1,0
41,8,1,54.23294914178344,5,9,1,0
41,9,1,53.147498936852976,5,9,1,0
42,0,0,49.12375863650337,8,8,0,1
42,1,0,47.82745150612436,8,8,0,1
42,2,0,49.669186764181454,8,8,0,1
42,3,0,48.437566603691536,8,8,0,1
42,4,0,44.65659670730979,8,8,0,1
42,5,1,57.28725283820548,8,8,0,1
42,6,1,56.93999145435279,8,8,0,1
42,7,1,56.84741212806664,8,8,0,1
42,8,1,57.1872292678932,8,8,0,1
42,9,1,55.93915953851006,8,8,0,1
43,0,0,49.04524346463626,3,5,1,1
43,1,0,52.01255198667253,3,5,1,1
43,2,0,49.07758733012111,3,5,1,1
43,3,0,51.163828864944165,3,5,1,1
43,4,0,46.87947284057645,3,5,1,1
43,5,0,48.988112937888864,3,5,1,1
43,6,0,47.51001336485337,3,5,1,1
43,7,0,48.49678816777015,3,5,1,1
43,8,0,49.63647690946968,3,5,1,1
43,9,0,47.34691229311844,3,5,1,1
44,0,0,48.23727561752528,4,4,1,1
44,1,0,47.58937221069116,4,4,1,1
44,2,0,48.27085865601629,4,4,1,1
44,3,1,58.02392050436659,4,4,1,1
44,4,1,55.45154077179189,4,4,1,1
44,5,1,57.63725596788888,4,4,1,1
44,6,1,56.375591969353,4,4,1,1
44,7,1,55.05349297195043,4,4,1,1
44,8,1,58.19741006941938,4,4,1,1
44,9,1,57.97788601431998,4,4,1,1
45,0,0,47.62259513409606,1,9,1,1
45,1,0,46.53048628399097,1,9,1,1
45,2,0,47.44687299032216,1,9,1,1
45,3,0,48.285539654857374,1,9,1,1
45,4,0,42.62858949379692,1,9,1,1
45,5,0,46.92451752527635,1,9,1,1
45,6,1,54.869847628676936,1,9,1,1
45,7,1,55.41903108983537,1,9,1,1
45,8,1,55.97305829012349,1,9,1,1
45,9,1,54.09948411248406,1,9,1,1
46,0,0,47.9460626108168,4,4,1,1
46,1,0,46.411186944864376,4,4,1,1
46,2,0,47.438506927145305,4,4,1,1
46,3,0,47.87509886307666,4,4,1,1
46,4,0,45.63648590716298,4,4,1,1
46,5,0,49.69722882077168,4,4,1,1
46,6,0,49.14208994223661,4,4,1,1
46,7,0,48.5344487758693,4,4,1,1
46,8,0,47.817551452846686,4,4,1,1
46,9,0,47.63662077080392,4,4,1,1
47,0,0,48.663869468564485,5,6,0,1
47,1,0,49.25210189181578,5,6,0,1
47,2,0,49.35229487423543,5,6,0,1
47,3,0,50.64874553272561,5,6,0,1
47,4,0,45.74459030374721,5,6,0,1
47,5,0,49.05413945936453,5,6,0,1
47,6,0,49.15076035774654,5,6,0,1
47,7,0,46.372687907358745,5,6,0,1
47,8,0,49.671278950637486,5,6,0,1
47,9,0,47.82662430905474,5,6,0,1
48,0,0,47.44865985548787,5,7,1,0
48,1,0,48.83667642005953,5,7,1,0
48,2,0,47.13454986129035,5,7,1,0
48,3,0,48.52740343508772,5,7,1,0
48,4,0,45.52722486770164,5,7,1,0
48,5,1,56.50917494518831,5,7,1,0
48,6,1,56.41988518826241,5,7,1,0
48,7,1,54.49837441921162,5,7,1,0
48,8,1,54.94497392206562,5,7,1,0
48,9,1,56.597595067301945,5,7,1,0
49,0,0,46.276196228818655,5,7,1,1
49,1,1,58.14283377035321,5,7,1,1
49,2,1,55.4781689109418,5,7,1,1
49,3,1,55.65662138632859,5,7,1,1
49,4,1,52.57513548807295,5,7,1,1
49,5,1,56.65351485074402,5,7,1,1
49,6,1,56.70293078397279,5,7,1,1
49,7,1,55.34690766012849,5,7,1,1
49,8,1,56.35008156616818,5,7,1,1
49,9,1,56.71539313499319,5,7,1,1
50,0,0,48.36445813519662,6,5,1,1
50,1,0,50.46055689321338,6,5,1,1
50,2,0,48.12000461856535,6,5,1,1
50,3,0,50.60271433993449,6,5,1,1
50,4,0,48.86272114625668,6,5,1,1
50,5,0,48.332113331139006,6,5,1,1
50,6,0,48.55023336172699,6,5,1,1
50,7,0,49.482068667428464,6,5,1,1
50,8,0,50.80981031777932,6,5,1,1
50,9,0,49.01762318314166,6,5,1,1
51,0,0,49.67966539442845,5,6,1,1
51,1,0,49.916458173124745,5,6,1,1
51,2,0,48.53235243089917,5,6,1,1
51,3,0,48.91420698984004,5,6,1,1
51,4,0,47.15571062895543,5,6,1,1
51,5,0,48.55964798931392,5,6,1,1
51,6,0,48.2530366140116,5,6,1,1
51,7,1,56.38952310684651,5,6,1,1
51,8,1,58.1395605854953,5,6,1,1
51,9,1,56.28090855209315,5,6,1,1
52,0,0,45.81698595407618,2,10,1,1
52,1,0,48.8716503608694,2,10,1,1
52,2,0,48.6396543001362,2,10,1,1
52,3,0,48.17871403722405,2,10,1,1
52,4,0,48.27122330103882,2,10,1,1
52,5,0,48.62277320112098,2,10,1,1
52,6,0,47.64255573932287,2,10,1,1
52,7,0,45.42886141001729,2,10,1,1
52,8,0,48.20209316428418,2,10,1,1
52,9,0,46.85973957148919,2,10,1,1
53,0,0,48.3480717511334,5,9,1,1
53,1,0,49.06113801022467,5,9,1,1
53,2,0,48.71019204979823,5,9,1,1
53,3,0,49.71426222385243,5,9,1,1
53,4,1,53.41557395348432,5,9,1,1
53,5,1,56.263860379962914,5,9,1,1
53,6,1,58.11606510911619,5,9,1,1
53,7,1,57.04192805498071,5,9,1,1
53,8,1,57.21227164004635,5,9,1,1
53,9,1,56.562891691130496,5,9,1,1
54,0,0,45.71738349119377,5,10,1,0
54,1,0,45.31436084825629,5,10,1,0
54,2,0,45.69428046840477,5,10,1,0
54,3,0,48.011456933594296,5,10,1,0
54,4,0,45.32665734182228,5,10,1,0
54,5,0,45.71227688649421,5,10,1,0
54,6,0,46.0416348413857,5,10,1,0
54,7,0,45.565683316618205,5,10,1,0
54,8,0,48.50463518906902,5,10,1,0
54,9,0,46.16443940650014,5,10,1,0
55,0,0,49.40781562903947,6,12,1,0
55,1,0,48.95130876959216,6,12,1,0
55,2,1,56.94597191951307,6,12,1,0
55,3,1,56.82949938356459,6,12,1,0
55,4,1,55.09440099683924,6,12,1,0
55,5,1,59.09082506981067,6,12,1,0
55,6,1,57.512950049942255,6,12,1,0
55,7,1,57.2763331441216,6,12,1,0
55,8,1,56.608906792543074,6,12,1,0
55,9,1,58.20383177299528,6,12,1,0
56,0,0,43.5152361035899,3,8,1,1
56,1,0,43.89087259645502,3,8,1,1
56,2,0,44.70039431067222,3,8,1,1
56,3,0,46.19894453425644,3,8,1,1
56,4,0,42.9880631036852,3,8,1,1
56,5,0,46.30733337414232,3,8,1,1
56,6,1,53.442340953029166,3,8,1,1
56,7,1,51.91146191999764,3,8,1,1
56,8,1,52.97681541105484,3,8,1,1
56,9,1,53.68306181817265,3,8,1,1
57,0,0,45.029536339672696,2,9,0,1
57,1,0,47.57400524245023,2,9,0,1
57,2,0,47.996535496577216,2,9,0,1
57,3,0,44.23199231445773,2,9,0,1
57,4,0,43.80410437432149,2,9,0,1
57,5,0,46.9363772519876,2,9,0,1
57,6,0,46.63289407881491,2,9,0,1
57,7,0,46.76744557018973,2,9,0,1
57,8,0,47.07746338040326,2,9,0,1
57,9,1,53.353479842303,2,9,0,1
58,0,0,47.09232917830256,2,11,0,1
58,1,0,47.46412838921991,2,11,0,1
58,2,0,46.79283544647034,2,11,0,1
58,3,1,57.09456469114434,2,11,0,1
58,4,1,52.1419075944699,2,11,0,1
58,5,1,54.32669172774428,2,11,0,1
58,6,1,54.47222181686534,2,11,0,1
58,7,1,55.53803625415867,2,11,0,1
58,8,1,54.80776605471112,2,11,0,1
58,9,1,54.098847293265486,2,11,0,1
59,0,0,49.61011768966446,4,4,1,1
59,1,0,48.473922010118045,4,4,1,1
59,2,0,49.68170816601848,4,4,1,1
59,3,0,48.984620277794825,4,4,1,1
59,4,0,45.34863891169324,4,4,1,1
59,5,0,49.40201008155732,4,4,1,1
59,6,0,48.96666971685664,4,4,1,1
59,7,0,49.621027319224126,4,4,1,1
59,8,0,49.69294689389891,4,4,1,1
59,9,0,49.3066795365768,4,4,1,1
60,0,0,47.81046920082724,6,5,1,1
60,1,0,49.33286410486413,6,5,1,1
60,2,0,49.94752186485112,6,5,1,1
60,3,0,50.04193699145917,6,5,1,1
60,4,0,46.38132294167189,6,5,1,1
60,5,0,49.75580762369539,6,5,1,1
60,6,0,48.32236352204562,6,5,1,1
60,7,0,47.67645731246888,6,5,1,1
60,8,1,57.45799011188656,6,5,1,1
60,9,1,55.69767436784375,6,5,1,1
61,0,0,49.33374976959245,3,8,1,1
61,1,0,50.42214592889233,3,8,1,1
61,2,0,48.41930394211073,3,8,1,1
61,3,0,48.66297372698286,3,8,1,1
61,4,0,45.6710510971403,3,8,1,1
61,5,1,58.48443591539326,3,8,1,1
61,6,1,56.01875633089414,3,8,1,1
61,7,1,56.90508594596851,3,8,1,1
61,8,1,57.29111421852753,3,8,1,1
61,9,1,55.23354141312311,3,8,1,1
62,0,0,45.26822198418204,1,8,1,1
62,1,1,55.42306778323413,1,8,1,1
62,2,1,53.48368641349679,1,8,1,1
62,3,1,54.49764880995972,1,8,1,1
62,4,1,50.85073637958283,1,8,1,1
62,5,1,54.76375601496272,1,8,1,1
62,6,1,55.33168051937514,1,8,1,1
62,7,1,55.27855355205391,1,8,1,1
62,8,1,53.62296840618668,1,8,1,1
62,9,1,55.90259773228895,1,8,1,1
63,0,0,48.56757749332408,2,14,1,0
63,1,0,48.086099498663984,2,14,1,0
63,2,0,48.43710677541021,2,14,1,0
63,3,0,48.27784859059823,2,14,1,0
63,4,0,46.48658433757777,2,14,1,0
63,5,0,47.90374847885127,2,14,1,0
63,6,0,48.79531812172115,2,14,1,0
63,7,0,49.35061493211619,2,14,1,0
63,8,1,56.4037376853381,2,14,1,0
63,9,1,57.07616356454832,2,14,1,0
64,0,0,48.01767887885373,5,11,1,1
64,1,0,48.10434487185538,5,11,1,1
