recipient_age,monthly_income,is_homeowner,has_dependents,lives_in_rural_area,received_subsidy,housing_stability
7,19,1,1,1,1,72.96926499984369
36,27,0,0,0,1,96.07488603307073
24,26,0,0,1,1,87.72196972996775
20,29,0,0,1,1,88.55185249637843
17,29,1,0,1,0,82.91170167966538
32,26,0,1,0,1,93.97413808385116
28,23,0,1,0,1,90.1420307036429
35,17,1,1,0,1,91.56500977575476
25,20,1,0,1,1,87.49332413049007
19,29,1,0,0,1,87.35890558913486
25,15,0,0,0,1,82.59390738989899
27,26,1,1,0,0,87.60761460026988
22,28,1,0,0,1,89.9678864528232
1,32,0,0,1,0,70.06157179091831
39,26,1,0,0,1,98.9806231404122
16,22,1,0,0,1,81.31169302179867
36,19,0,0,1,1,91.01572864897304
32,23,1,0,0,1,91.2135190245014
47,24,0,0,1,0,100.10149719885474
19,23,1,0,0,1,82.66814935321473
19,24,1,0,1,1,83.98079096375565
25,23,1,1,1,0,84.93085667666024
34,25,0,0,1,0,91.98122403072333
16,19,1,0,0,0,74.26352998730209
24,23,1,0,0,0,83.14662782571371
21,24,0,0,1,1,85.01435971959137
30,32,0,0,0,0,92.51586078660112
32,19,1,0,1,1,90.27236573046603
23,21,1,1,1,1,86.31922742018155
33,12,1,0,0,1,86.76792599033293
23,27,0,0,1,0,85.25623349143501
11,21,0,0,0,1,74.22397486363128
13,21,0,1,0,1,76.60839900628014
26,29,1,0,1,1,92.57496703264572
11,24,0,0,0,0,71.59782685448522
49,19,1,1,0,1,102.38681881575846
23,25,1,0,0,0,83.1923926537434
35,26,0,0,0,0,92.47862300005762
19,28,0,1,0,1,86.7675140893527
16,22,1,0,1,1,79.46290342102792
50,19,1,1,1,0,99.79717607754417
21,22,0,1,1,1,84.76561994123726
17,28,0,0,1,0,81.23688223589645
9,12,0,1,0,0,64.76423805059778
20,25,1,0,0,0,82.59194759557542
19,18,0,1,0,0,76.11895285383798
5,24,0,1,1,0,71.00507944906188
21,26,0,0,1,1,84.64744777009587
27,24,0,0,0,0,84.57257578398048
29,19,1,1,0,0,84.83018383724077
25,21,1,0,0,1,86.9619700379395
42,30,1,0,0,0,102.74326388470004
39,26,1,0,1,1,100.43450533635404
31,23,0,1,1,0,88.15393652383534
20,25,0,1,0,1,86.10470748535889
38,25,0,1,0,1,98.7909348895171
26,20,1,0,0,0,81.62586693089395
34,19,0,0,1,0,87.74566645403844
33,24,1,1,0,1,94.1455750007582
24,29,1,0,0,0,85.43836146277609
19,24,0,0,0,1,80.57955818731274
36,24,1,1,0,0,94.34631668104976
20,20,0,0,1,0,77.61921293875497
32,21,1,0,1,0,87.99836215904556
3,27,1,0,1,1,70.59634575188575
9,24,0,0,1,0,70.42533733624046
27,18,1,0,1,0,83.05350329361721
25,31,1,0,0,1,92.32843319775976
28,21,1,0,0,0,83.744354203669
1,25,1,0,0,1,71.50774006926983
11,27,0,0,0,1,78.51483239316248
36,22,1,1,0,1,96.5692370836443
34,20,0,0,1,0,88.36469241747261
50,24,1,0,0,1,107.9354407303559
14,17,0,0,0,0,70.25144377668599
33,21,0,0,1,1,91.3320532965179
24,27,0,0,1,0,85.45753274161197
14,26,0,0,1,0,77.7228770503775
16,27,0,1,1,1,82.84122877564279
45,30,0,1,1,1,107.09030575887704
28,24,0,0,0,0,83.56367308796887
17,21,0,1,0,0,74.42665750405457
18,31,0,0,1,0,81.62205521559015
16,24,0,0,1,1,79.58636315571756
16,24,0,1,0,1,80.48205522418067
26,28,1,0,0,0,87.22640365884195
22,27,1,0,1,1,87.94398309516053
13,26,1,0,0,0,76.38737261524508
27,24,0,1,0,0,84.01431994742404
13,17,1,0,1,0,70.86523107563256
15,29,1,1,0,0,77.97507463333082
12,28,0,0,0,0,74.33549990995647
14,22,0,0,0,0,72.87033229023548
10,31,1,0,0,0,75.48175955731348
39,30,0,0,0,1,101.16472259884954
30,26,1,0,0,1,92.68218387719944
31,20,0,1,1,1,90.57058705538876
17,22,1,0,0,1,80.57515594199111
23,28,1,0,0,1,89.5725686747984
3,23,1,0,0,1,71.68899432530662
22,18,1,1,0,1,81.66437438233083
37,22,1,1,0,0,90.98043909359347
22,30,0,0,0,1,87.41190178857427
21,24,0,0,0,0,81.50206789550623
20,20,0,1,0,1,78.83565453658227
38,23,0,0,0,0,93.69688382220284
21,32,0,0,0,1,89.30155367784714
23,28,1,0,1,0,86.20854061560308
14,21,0,0,1,1,76.72139667947481
13,27,1,0,1,0,76.84651608882949
25,28,1,0,0,1,90.95454936248544
41,22,0,0,0,1,97.88704073044784
35,23,0,1,0,1,94.4468011925488
34,25,1,0,0,0,90.86911368419938
32,19,1,1,0,1,92.30970218371915
20,30,1,1,1,0,85.46577598013809
21,23,0,1,0,0,79.33680894343196
-2,17,1,0,0,0,58.7270245058907
23,21,1,0,0,1,84.20380785044655
28,26,1,0,0,0,89.12066010499854
23,21,0,0,1,0,80.30696106085166
30,21,0,0,1,1,89.98486429626467
24,20,1,1,1,1,86.33107381801308
25,28,1,0,0,1,90.48478574940816
20,23,0,1,1,1,85.53838145907906
16,30,0,0,1,0,82.51815030900484
19,25,0,0,0,0,78.45077369169944
6,26,1,0,0,1,74.9426028027533
19,16,1,0,0,1,77.88816902805425
58,24,0,1,0,1,114.66079345670036
13,16,0,0,0,1,71.90676527753995
32,27,0,0,0,1,94.55542725622824
40,26,0,1,1,0,95.74065071112688
37,23,1,1,0,0,93.13139198766406
19,24,0,1,1,1,83.81601625063409
30,25,1,0,0,1,91.93241124405444
29,24,1,1,1,0,88.94606598872811
20,31,0,0,1,1,88.22988022220301
18,21,0,1,0,0,76.97212167621208
29,22,0,1,0,1,88.64837767841712
27,23,0,0,1,0,85.37839747252544
29,23,0,1,1,1,90.9953134145862
44,27,0,1,0,0,99.050381129331
16,23,1,1,0,0,78.04318593243842
7,16,1,0,1,1,70.37342315391757
19,31,1,1,1,0,84.93887977405379
27,17,0,0,0,0,80.39183356159916
22,23,0,0,0,1,84.86796238272163
3,31,0,0,0,1,72.91683117846135
41,26,1,0,1,1,103.61673582222554
34,26,0,1,0,1,95.3438314693686
12,31,0,0,1,1,82.64307695433
23,24,0,0,1,1,86.67776768649647
49,13,0,0,0,1,98.28735914101436
10,13,1,0,1,0,66.37016294067614
39,22,1,0,1,0,94.13505507965324
29,22,0,0,0,1,89.17416159626642
43,25,0,1,0,0,97.99487056358072
32,26,1,0,1,0,91.25669555970724
40,26,1,0,0,1,99.6708530179523
20,28,1,0,1,1,87.85456152383536
19,28,1,1,0,0,84.72957316147041
20,25,0,1,1,1,86.0138580810941
14,15,0,1,0,0,67.4172345348186
32,26,0,0,0,0,90.27357572328796
30,21,0,1,0,1,89.7315246978135
29,28,1,1,1,1,96.45782277590996
23,25,0,0,1,1,88.24109839137935
49,23,0,1,0,1,105.27806747958836
37,14,0,1,0,1,91.09342105096464
57,27,0,0,0,0,109.84707033126138
28,20,1,0,0,1,88.62083723813622
43,26,0,0,0,1,103.45286326347966
26,21,1,1,0,0,83.39076647053163
20,22,1,1,1,1,86.28453857169791
31,25,0,0,0,1,92.32440426184668
34,31,1,1,1,1,101.36487855563976
29,21,1,0,0,0,85.8581104450413
13,29,0,1,1,0,78.87147755657423
7,20,0,0,1,0,66.98233842596314
15,25,1,1,0,0,77.44480341130235
39,20,0,0,0,0,90.76194738417752
35,22,0,1,0,0,89.3324292626244
21,25,1,1,0,1,85.85329525376923
22,29,0,0,0,1,88.27378260006597
13,20,0,0,0,0,71.87677540026246
23,22,0,0,0,0,79.7849937296143
24,21,1,0,0,1,86.05692574240449
40,27,1,0,0,1,101.08092989924891
42,27,1,1,0,0,97.8501068732671
52,24,0,1,1,1,107.36207668394024
35,19,1,0,0,1,91.19449506507831
33,28,1,0,0,1,96.33925124776088
18,25,0,0,0,0,79.32515124418155
14,22,0,0,1,0,75.53747483395091
35,25,1,0,1,0,92.67526068499686
25,22,0,1,0,0,82.75408343718395
13,21,0,1,0,1,76.14882508481008
5,22,0,1,0,0,67.2103096533362
30,23,0,0,1,0,85.54909332848307
11,23,0,1,0,1,77.55976933713868
36,25,0,1,0,0,92.95748531258286
28,26,1,0,0,0,86.66125776580577
36,17,1,0,0,0,87.33971211040273
12,26,1,0,1,0,76.28493849193536
33,21,0,0,1,0,89.31046133681367
32,27,0,0,0,1,95.70192139464731
19,29,0,0,0,1,86.31823517879147
10,17,0,1,0,0,67.45296840194618
38,18,0,0,0,1,92.599788367629
22,26,0,1,0,1,86.11770277477402
36,22,0,1,0,1,94.08559536178905
19,21,1,1,0,0,79.43476572609394
43,22,0,1,0,0,97.4155897614858
10,24,0,0,1,0,72.75191906861268
17,20,1,0,0,1,78.51631628526927
40,21,0,1,0,0,94.06824029471774
33,24,0,0,1,1,92.83796778852268
40,24,0,0,1,1,99.53711616680548
22,27,0,0,0,1,86.37137947319817
1,27,0,0,0,0,68.56624539920054
16,21,0,1,1,0,76.12743152593039
27,19,0,0,1,1,86.61558327524827
38,27,1,0,1,1,98.32740866305322
23,26,1,0,1,1,87.79530688674245
33,26,0,0,0,0,91.40456099642964
28,28,0,1,0,1,92.76857607959428
33,20,1,0,1,0,87.35623356563022
20,26,0,0,0,1,86.47655322641043
40,22,0,1,1,0,94.1862337613958
15,23,0,0,0,1,80.05055683176104
9,25,1,1,1,0,75.98087691259543
31,22,1,0,0,1,91.78063352925932
22,17,0,0,0,1,81.23289716268938
33,23,0,0,0,0,89.99818241782869
22,22,0,1,1,0,78.97127597274464
5,23,1,1,1,0,69.14130761306606
20,19,1,0,0,1,80.11579258245689
30,26,0,0,1,0,90.04684489324438
25,21,1,0,0,0,84.04467145700785
32,19,0,0,1,1,90.75841156509917
17,21,0,0,1,1,80.55869007203734
