candidate_age,experience_years,campaign_spending,female_candidate,minority_candidate,incumbent_candidate,social_media_campaign,election_won
30,21,15,0,1,0,1,19.206263191749382
10,18,6,1,1,0,0,31.358633859037344
19,15,8,0,0,0,0,28.8592520863494
25,31,10,0,0,0,0,18.27715089717087
26,22,11,1,0,0,1,23.41666711394724
18,20,6,0,0,0,0,28.677251162743417
36,21,4,0,0,0,0,25.71968668891768
40,23,10,0,0,1,0,21.011882765840404
29,25,8,0,0,0,1,23.84442430986291
42,25,13,0,0,0,1,16.060652202632202
10,16,12,0,0,1,0,26.82920645673537
32,20,12,0,1,1,1,20.829880147388277
26,21,13,0,1,0,1,21.522543426907557
6,24,6,1,1,0,0,30.239599294571235
33,11,9,1,0,0,1,28.53532827612805
36,21,6,0,0,0,1,25.9445139798361
27,11,14,0,0,0,0,24.941571726659934
29,19,11,0,0,0,0,20.802454949919014
28,12,6,0,0,0,0,27.42074522831352
30,13,6,0,0,1,1,31.36335551496281
21,22,8,0,0,0,0,25.602986896075848
27,22,4,0,0,0,0,27.34823922364097
20,16,15,0,0,1,0,20.326438360567725
27,23,8,0,0,0,0,23.667940610273828
45,15,7,1,0,0,0,24.48809592716523
22,19,11,0,0,0,1,25.20440516415646
27,24,9,0,0,0,0,21.065488234021167
45,20,8,0,1,0,1,22.370275284581197
30,11,8,0,0,0,1,29.35091034125537
36,18,12,0,1,0,1,22.5866945109105
26,16,12,1,0,0,1,25.939828671255867
26,12,10,1,0,1,0,26.98350567167549
23,33,1,1,0,1,0,27.781023557998115
25,18,9,1,0,1,1,27.96783540495669
31,14,6,1,0,0,0,30.41025741097729
36,21,10,0,1,1,1,20.827354193726293
31,22,6,0,0,0,1,26.756071876771124
30,20,9,0,0,0,1,24.349956179055223
27,13,10,0,0,0,1,28.569277309500684
37,30,7,0,0,1,0,18.003117549930707
18,8,11,0,0,0,0,29.608407722686152
31,26,15,0,0,0,0,12.466183880618756
27,17,13,0,1,0,1,23.04265552432065
38,22,9,0,0,0,1,22.659958138868085
27,31,13,0,1,1,1,16.329266892941146
42,12,12,0,0,0,1,22.577942578179968
32,16,9,0,0,0,1,25.459356670920947
19,16,14,0,0,1,0,20.89888415190568
34,14,13,0,1,0,1,22.65066959069997
33,16,6,0,1,0,1,29.95563332850607
31,13,11,0,0,0,0,22.791233728892795
18,24,12,0,0,1,0,20.17890398706156
18,19,15,1,0,0,0,19.172379480953957
27,27,9,0,0,1,0,19.999757965097068
35,22,10,0,0,0,1,21.81577976660417
34,9,7,1,0,0,1,32.12695106525214
31,25,5,1,0,1,0,25.087287805549572
28,15,4,0,0,0,0,30.5561880070997
27,22,7,0,1,0,0,24.913606602454497
33,25,14,0,0,1,0,16.172073879969158
41,21,9,0,0,0,1,23.04605273060582
32,25,9,0,0,0,0,20.13821248801452
35,23,12,1,0,0,0,15.502751330310032
23,22,12,0,0,0,1,20.390928353028286
39,9,12,1,0,0,1,25.4440160188994
27,21,15,1,0,0,1,18.7396595374369
30,20,14,0,1,0,1,18.686564043047976
39,12,8,0,0,0,0,24.87412618839681
41,17,9,1,0,0,1,23.38877343841508
18,19,7,0,0,0,0,27.76751525223297
30,24,10,1,0,0,0,21.065282076629934
23,23,7,0,0,1,0,24.74594680320492
44,12,7,0,0,0,1,28.166302514000417
34,23,6,0,1,0,1,25.486113294425408
34,27,8,1,0,0,1,22.009136051696306
24,18,10,1,1,0,1,26.169297569234512
24,17,5,0,0,1,0,30.8198428028001
23,17,14,0,1,0,1,21.78446432365426
19,24,3,0,0,0,1,29.158803139442853
30,26,11,0,0,0,1,17.241787564339102
24,17,3,0,1,0,0,30.94665276757226
23,7,13,0,0,0,1,27.88978629842325
27,26,18,0,0,0,0,12.728163683991871
30,14,14,0,0,0,0,20.56230235043593
27,22,12,0,0,1,0,21.06771960359887
34,13,9,1,0,0,1,27.81934641752408
42,19,10,0,0,1,1,21.22696691067718
26,20,12,0,0,1,0,22.084429652246016
32,20,12,0,1,0,1,21.051614313295943
17,16,12,0,0,1,0,24.051288742275084
44,23,11,1,0,0,1,17.327726097986726
26,14,6,0,0,1,0,29.75939055151375
24,20,15,0,0,1,1,19.636613184538227
40,21,13,1,1,0,0,14.801611702618024
24,21,12,0,0,1,0,20.784487233576375
33,14,6,0,0,1,1,28.943763980883737
23,18,6,1,0,0,0,29.12375811379307
15,12,8,1,0,1,0,30.98494361806868
40,15,10,0,1,1,1,24.021698378082945
38,7,9,0,0,0,1,29.80254858623251
16,31,7,1,0,0,0,22.96903274232556
33,31,11,0,1,1,1,17.339588332766283
21,16,9,0,0,0,0,29.062349300690105
27,21,10,0,0,0,0,23.155302693495837
33,6,7,1,1,0,1,31.749787425868607
44,25,9,0,0,1,0,18.126277877322103
33,27,14,0,0,0,1,15.026128699081104
34,15,17,0,0,0,1,17.709948336597648
36,24,10,0,1,0,1,18.653409537302704
13,24,9,0,0,0,0,26.794947497055595
19,22,10,0,1,0,1,25.93306098397219
29,29,8,1,0,0,1,23.219391031953297
25,28,11,1,1,0,1,20.77007777027977
21,17,13,0,0,0,1,25.027804254362827
23,16,16,1,0,1,0,19.83974338240818
49,25,13,0,0,0,1,15.385371859793397
21,17,7,1,0,0,0,30.09555354276952
32,23,9,1,0,0,0,21.873498626346443
27,12,5,0,0,1,1,33.09026808521713
32,19,11,0,1,0,1,23.563462281335184
26,11,8,0,1,0,1,29.626165417285343
30,24,8,0,0,0,1,23.744840374362006
26,22,7,0,0,1,0,22.711572851137277
36,26,9,1,1,0,1,21.142375980946543
39,15,8,1,0,0,1,25.77840768377229
43,21,14,1,0,1,0,14.030951198063528
41,37,12,0,0,0,0,9.303576738891664
24,15,11,1,1,0,0,25.773559620274487
23,21,7,0,0,0,0,25.17600582818823
26,17,10,0,0,0,1,24.81653791322429
45,30,7,0,1,0,1,18.95587562724774
26,17,13,0,1,0,1,23.59463761699809
23,17,7,0,0,0,0,29.177005851673822
30,21,9,0,0,1,0,21.959307426900214
18,28,9,0,0,1,1,22.603017865342892
34,28,11,0,1,0,1,18.503444610590147
37,27,8,1,0,0,1,22.05105005613892
32,17,6,1,0,1,1,28.91431052005218
34,23,12,1,0,0,0,17.55434977750415
26,12,7,1,1,0,0,30.4178878092124
26,13,10,0,0,0,1,27.31604161070197
32,23,16,0,1,1,0,13.782193267668609
31,25,11,0,0,0,1,18.662760657708063
32,30,10,0,0,1,0,16.230147572456424
30,22,13,1,0,0,1,18.327625342461808
27,26,6,1,0,1,0,26.224971566603763
25,15,9,0,0,0,1,29.25831364446244
22,23,10,0,1,0,0,21.60460055352813
23,26,4,1,0,1,0,26.62035892590334
23,24,8,1,0,0,1,26.023255615075065
43,13,10,1,0,0,1,25.71252661246605
32,16,9,1,0,0,0,24.85380650951644
50,16,12,0,1,0,1,18.68160598205399
38,30,10,0,1,0,1,17.071757348820242
29,13,9,0,0,1,1,27.98438295907383
41,14,11,0,1,0,1,23.21954045540165
33,18,9,0,1,0,1,24.97521415120568
51,24,13,1,0,1,1,13.341236473424347
43,18,9,0,0,0,1,21.682971612584225
20,20,9,1,0,0,0,26.580225401959083
33,12,14,1,0,0,0,20.42738857954037
37,15,6,1,1,1,1,29.951045135759035
33,13,5,1,0,0,0,30.819255318452907
29,13,15,0,0,0,1,20.466971145900654
22,28,13,0,0,0,0,16.170395331034968
28,18,9,1,0,0,0,26.20567280691648
25,29,12,1,0,1,1,18.522221368057775
22,33,6,0,1,0,0,21.330370330599937
31,23,12,0,1,0,1,21.899730249734645
26,23,5,0,1,0,1,29.48898493795702
11,24,15,1,0,1,0,20.66252837549174
48,9,7,0,0,0,1,27.05854785956829
33,15,14,0,0,0,1,21.495059914744918
24,29,9,0,1,1,1,21.56911708440868
32,17,7,0,0,0,1,27.77044708784888
16,21,12,0,0,1,1,23.434944027672334
33,16,7,0,1,0,1,28.755391778437158
49,7,7,1,0,1,1,29.34207646835697
23,20,9,0,0,0,0,23.37420865157936
41,20,10,0,0,1,1,21.56824718220446
25,24,9,1,0,0,1,24.366460735220976
13,16,8,0,0,0,0,29.86216038726418
15,8,9,0,1,0,0,32.816464886640055
32,16,9,0,0,1,1,24.804536170747447
27,12,6,1,1,0,0,30.26674026574525
34,20,9,0,0,0,1,24.266524834287782
36,22,12,0,1,0,1,18.851015431299285
30,13,8,0,0,0,1,27.83113476354301
29,20,7,1,1,1,1,28.45378721593736
12,10,11,0,0,0,0,33.04952720708733
25,22,8,0,1,0,1,25.0379158674946
25,28,11,0,0,0,0,16.468762781275192
28,18,1,0,0,0,0,32.35030716168119
21,27,13,0,0,1,0,17.457360677291106
33,22,9,0,0,1,0,20.826259172603137
33,27,4,0,1,1,1,25.67034899656933
18,19,10,0,1,0,0,25.593876322761187
33,26,7,0,0,0,0,22.537107301056675
35,18,11,0,0,1,0,19.5827026242442
30,15,13,1,1,0,1,24.50006973940097
33,14,6,0,0,1,0,28.05285173680607
39,28,12,1,0,0,1,16.33228025365536
32,16,4,0,0,0,0,29.879940769884996
23,16,12,1,0,1,0,25.01540643884032
19,21,8,0,0,0,0,26.80757059096921
46,28,6,0,0,0,1,20.438134443845104
22,18,13,0,0,0,0,20.1738603079475
35,8,11,1,0,0,1,27.03397179230432
26,21,16,0,0,1,0,17.24826363389358
29,27,11,0,0,1,0,17.56437864522156
38,12,13,0,0,0,1,20.989412912525584
36,12,12,1,1,0,1,25.27532620913327
26,23,9,0,0,0,0,23.49207178399353
27,19,9,0,0,0,1,26.06732080319392
15,24,10,1,0,1,0,24.63509188721469
32,16,8,1,0,0,1,28.66249092748994
27,14,8,1,1,0,0,28.31407020091606
28,23,9,1,0,0,1,22.89666998562661
19,17,14,0,0,0,0,23.905057010476195
31,22,9,0,0,0,1,23.393825277827258
38,20,13,0,0,0,1,17.116162428435373
28,22,3,1,0,0,0,32.05801028518432
32,22,10,0,1,0,0,21.165809008541824
26,26,6,0,1,0,0,25.26026369152173
41,2,7,0,1,0,1,29.700237099383216
13,18,9,0,1,1,0,28.279539835812653
29,9,10,0,0,1,0,27.876997779512354
27,18,15,0,0,0,1,20.164478950598447
22,25,8,0,0,0,1,24.854330242154177
28,19,7,0,1,0,1,28.07795253769813
42,16,11,0,0,0,1,22.30528119212165
29,28,12,0,1,0,1,17.206278779848247
38,15,8,1,1,0,1,27.49889274302022
41,20,10,0,1,1,1,20.904480472068485
34,16,15,0,1,0,0,18.63992523324564
23,26,8,1,0,0,0,22.823483700769195
25,28,11,0,1,0,0,16.253030924289167
39,21,11,0,0,0,1,19.701337072764808
28,26,12,0,1,0,1,18.009436783625787
34,30,4,0,0,0,0,23.48549509558467
18,13,10,0,0,1,0,28.56577478738872
22,23,11,1,0,1,0,21.594148348007128
28,21,10,0,0,1,1,24.935361651186017
31,20,11,0,0,0,1,22.18937611504185
39,17,11,0,0,0,1,22.866604143026336
38,24,14,1,1,1,1,16.88476700777233
39,18,7,0,1,0,1,25.048423508767776
32,24,9,1,1,1,0,23.685450475726263
39,13,10,0,1,0,1,25.13011421418384
27,24,8,0,1,0,1,23.501227692069733
35,21,15,0,0,0,1,17.696269450000536
28,22,11,1,0,1,1,23.414661888667677
26,20,8,1,0,0,0,24.305040206264128
29,26,6,0,1,1,1,26.50005067205541
38,22,9,1,0,0,0,21.34002176395112
24,19,9,1,1,0,0,26.210909809753165
24,21,11,1,0,1,0,21.849553746441284
38,25,4,0,1,0,1,28.62988159420988
31,34,11,0,1,0,1,14.691442866204788
36,29,8,0,1,1,1,20.853689432212427
35,21,6,1,0,0,0,24.96499308341032
29,15,7,1,1,1,0,28.031912010975592
39,24,8,1,1,1,1,20.753770346263604
33,16,12,0,1,0,0,21.013354873412737
30,27,13,0,0,0,0,15.530081489955476
35,24,3,0,0,0,0,25.86443631968394
41,21,14,0,0,1,1,17.766415373551723
22,23,6,1,1,0,1,28.96536655070024
25,21,8,0,0,0,0,24.570891296695542
33,30,8,0,1,1,1,20.631143065780822
22,20,16,0,0,0,0,17.294193043406008
17,19,15,0,0,1,0,19.4021404554618
40,15,5,0,1,0,1,29.048375701964847
30,14,2,1,1,0,1,36.332827957500754
33,28,9,0,1,1,1,20.35575457426496
34,20,6,0,0,0,0,25.30146959273097
25,20,10,0,0,0,0,22.30367227998372
26,14,9,1,0,0,0,27.571206626976483
31,10,7,0,1,0,1,32.844704951889995
20,21,5,1,0,0,0,28.89782625299041
32,13,9,0,1,1,1,28.326149151005243
32,31,10,0,1,0,1,17.596881519127066
26,11,8,1,0,1,0,29.119752804317717
45,22,12,0,0,1,1,17.056619637624127
25,15,7,0,0,1,0,27.115817737239105
29,21,11,0,0,0,1,23.09770891448005
29,29,11,1,1,1,0,15.85265829395748
15,30,10,0,0,1,0,19.95187125992798
38,28,7,1,0,0,1,21.89762277535168
35,20,3,0,1,0,1,30.11859389954687
19,12,8,0,1,0,0,32.03633186223428
27,15,12,0,0,1,0,24.2296811943753
40,19,5,0,1,1,1,26.28042445314281
38,21,7,0,0,1,1,24.51462218199113
37,26,9,0,0,0,1,19.42410794874433
27,19,13,0,0,1,0,20.054543618621008
44,20,10,0,0,0,1,19.81860196716422
32,18,6,1,1,1,1,28.053247089275825
25,16,11,0,0,0,0,23.380412699624983
31,18,3,1,0,1,0,28.09723146139784
40,8,8,0,1,0,1,28.72915562472088
30,24,17,0,1,0,1,13.317390409174235
18,22,5,0,0,0,0,27.70230671293383
28,23,9,0,0,0,0,21.504428934574666
31,13,8,0,0,1,1,29.512122418135394
27,20,12,0,0,0,0,21.28644227959863
24,29,14,1,0,0,0,15.419980079619313
30,21,9,0,0,0,0,22.06610226690666
23,35,7,1,0,0,0,19.89030130082766
23,18,9,1,0,0,0,24.77539854121676
22,22,15,1,0,0,0,17.06006872287138
39,27,9,1,0,0,0,17.650158682833123
32,13,4,1,0,0,0,31.4893180308361
37,21,12,0,1,1,1,19.91676449171614
32,12,9,0,0,0,0,26.20323889235428
25,22,12,1,1,1,1,23.454232711900445
37,19,4,0,0,0,1,28.5236811800542
43,31,8,1,1,0,1,17.529273559364515
33,27,11,0,0,0,1,19.913312972806267
41,23,10,0,0,1,1,20.701393009986216
12,29,7,0,0,0,0,25.96505635838805
24,22,11,1,1,1,1,23.57560583272352
28,13,9,0,0,0,0,24.411531593547643
18,24,13,0,0,1,0,17.99099354653123
24,20,8,1,0,0,1,27.235532319100955
29,9,7,0,0,0,1,30.85191269497139
32,25,5,0,0,0,1,25.456147457720995
19,19,10,0,1,0,0,24.726481367235504
18,21,14,1,0,0,0,18.64873944088777
10,18,11,0,0,0,0,27.892059793956157
23,12,7,0,1,0,1,31.258784902318748
28,16,14,0,1,1,1,21.079825287161345
28,19,10,0,0,0,1,23.87162564187104
22,18,12,0,0,0,1,24.65905290583416
20,23,15,0,0,1,0,18.066362050229557
36,18,6,1,0,1,1,25.476679796500385
23,19,11,0,0,0,1,24.074289402776767
26,16,3,1,0,0,0,33.48156378219055
26,23,13,0,0,0,0,18.468870896419748
31,15,9,0,0,1,0,23.902571863759224
40,10,12,1,1,0,1,25.01599231635853
34,14,13,1,0,0,1,23.62625222260276
37,25,11,1,0,1,0,17.130471184199617
35,17,9,0,1,1,0,20.781552591362196
37,23,4,1,0,0,1,28.8004720028821
42,15,7,0,0,0,1,28.46757581551147
19,21,11,1,0,1,0,21.8832406774608
37,17,8,0,1,0,1,25.416284246336435
25,29,11,0,0,1,0,16.542073982027595
24,13,8,0,0,0,0,29.64388399080319
29,14,8,1,0,0,0,26.672982819710743
21,24,10,0,1,0,1,22.325032505208693
18,19,10,0,0,0,0,25.75974786759288
20,14,8,1,0,0,0,29.453013490138076
37,32,11,0,0,0,0,12.944517306577689
28,21,15,1,0,0,1,19.40419324306588
32,25,8,1,0,0,0,23.02047937694697
13,19,11,0,0,1,0,24.92609528948941
36,23,10,0,0,0,1,20.924474712444415
38,15,10,0,1,1,1,23.943631907120164
38,15,8,1,1,0,1,25.70974657586944
23,21,11,0,0,1,0,21.42194634692233
25,16,11,0,0,1,0,23.05552232974079
11,12,8,0,1,0,0,32.05969086567209
27,12,8,0,1,0,1,27.807617917623677
32,26,5,0,1,0,1,27.148831458674355
22,31,12,1,1,0,0,17.364966989505
23,11,10,1,1,0,0,26.86620889966516
25,17,7,0,1,1,0,29.205577109057813
22,19,5,0,0,0,1,30.41239621534
24,23,7,0,0,1,1,26.80706037361937
41,9,9,0,0,1,1,26.217071991810176
28,19,9,0,0,0,1,26.16302628853549
28,17,14,1,0,0,0,20.5068047142601
28,33,6,1,1,0,0,21.26436267623505
33,16,8,0,1,1,0,24.730113458275422
27,25,7,0,0,0,0,24.17286829375174
18,22,7,0,0,0,1,29.905132102773795
37,30,4,0,1,1,1,22.46580644366764
36,32,5,0,1,0,0,19.5540885342272
23,19,8,0,1,0,0,26.08181721862445
24,27,10,0,0,0,0,21.313180444911005
24,17,7,0,0,1,0,28.482319012922783
42,27,8,0,0,0,0,16.69633609454055
32,22,8,0,0,1,0,24.51700995317041
28,18,11,0,0,0,0,20.89810597803094
34,27,10,0,0,0,1,18.71682922530346
21,20,10,0,1,0,1,24.638394955763616
32,17,3,0,1,0,1,31.12057794649419
18,26,6,0,0,0,0,27.40786307561719
22,13,14,0,1,0,0,22.480558985692493
23,25,8,0,0,0,1,25.51033204909767
26,13,8,1,1,0,1,29.8222802159718
33,15,10,0,0,1,1,26.24041516046001
36,19,9,0,0,0,1,23.850968616233686
35,12,8,0,0,1,1,29.09506541259528
36,11,7,1,0,1,0,29.014605845407324
29,23,7,1,0,0,0,24.736748071726357
39,22,8,0,1,0,1,22.15544067711404
33,28,14,0,0,1,1,15.70793196925747
28,19,11,0,0,0,1,22.568379404741616
29,17,10,1,1,0,1,26.22470569548954
34,19,6,1,1,1,1,27.033464698388947
7,21,13,0,0,1,0,24.21672142906208
28,13,9,0,1,0,1,28.06168525656816
27,20,6,1,0,0,0,25.539878321379117
26,23,8,0,0,1,1,24.355437146783856
41,15,9,0,1,0,1,24.22252462652217
17,21,10,1,0,0,0,25.089825637839212
39,20,11,0,1,0,1,20.607523795849517
29,18,8,0,0,0,1,25.652753531033195
35,15,11,1,1,1,1,27.2333649120886
33,15,9,0,1,1,0,25.44939593046842
18,14,4,0,0,0,0,35.51262598780626
23,14,7,0,1,1,0,29.63604952333749
36,26,13,0,0,0,1,15.22371923826094
39,15,17,1,1,0,1,17.444768861986486
23,28,12,0,0,0,0,17.730900295311677
31,19,9,0,0,0,0,23.065191262577475
22,18,9,0,1,1,0,24.06259378326653
17,13,11,1,1,0,0,25.252887115358387
12,11,6,0,0,0,0,34.58813223250282
32,25,7,0,1,0,1,24.100558541874346
35,16,10,0,1,0,1,24.18509128797464
27,28,14,1,0,0,0,13.018024063911527
32,16,7,0,0,1,0,28.45858338262764
28,19,11,0,0,0,1,23.614861823681924
38,22,5,0,0,1,1,24.38361597617504
31,25,7,0,1,1,1,25.119212667568817
27,12,12,0,0,0,1,24.60844919384094
23,18,8,1,1,1,0,27.245557677535995
41,13,11,0,0,0,1,22.49787508223729
38,18,4,1,0,1,1,28.994151965355552
21,14,13,1,0,0,1,24.664442530234677
17,15,12,0,0,1,0,24.96331422682246
23,20,10,0,0,0,0,25.90834442889176
26,31,7,0,0,1,0,20.94115084006638
29,23,5,1,0,1,0,28.62515603830173
11,12,2,1,1,0,1,41.12202767568112
24,26,11,1,1,1,0,18.92367813981007
33,16,5,0,0,0,1,29.19714878759068
33,8,11,0,1,1,1,27.648033201703274
37,15,12,0,0,1,0,20.624135246946302
35,18,10,1,0,0,1,23.45272421309756
47,25,9,0,0,0,1,18.65752533733193
40,27,9,0,0,0,1,18.23694057031157
32,30,8,0,0,1,0,19.29998395353784
24,14,11,0,1,0,1,26.686748748204696
31,17,14,0,1,0,1,22.161725464719712
29,24,9,1,0,0,1,25.806400250155065
32,15,13,0,1,0,1,22.443370694436226
35,16,4,0,0,0,1,30.25123238600984
22,10,10,1,0,0,0,27.02815758103119
31,29,9,0,0,0,1,22.045148807932517
36,31,13,1,0,0,1,12.934439241502854
30,23,2,1,1,1,0,28.941960417224266
32,19,4,1,0,0,0,27.006443957343453
34,26,7,0,1,1,1,23.02074063840589
31,24,7,1,0,1,1,25.098203294551304
21,26,12,1,0,0,0,19.16964517284568
19,23,8,0,1,0,0,26.139070826099708
18,16,5,1,0,1,0,31.669232564867453
48,25,6,1,1,0,1,22.751289042430155
24,25,5,0,0,1,0,26.370674398596137
26,11,11,0,0,0,0,26.34918619296553
22,15,7,1,1,0,0,29.131419975100325
15,14,10,1,0,0,0,29.530395570720906
51,27,4,0,1,0,0,20.398628692358272
41,31,3,1,0,0,1,22.980715493746725
38,29,13,0,0,0,1,13.552499281903795
28,17,9,0,1,0,1,25.48105942740397
26,22,3,1,0,1,1,31.97507102721444
23,8,10,1,0,1,0,28.93647122375495
28,17,1,0,0,0,0,32.53827075766806
30,24,9,0,0,1,1,21.97464654527555
30,22,10,0,1,0,1,22.8767724474423
26,22,6,0,1,1,1,28.100586991041247
20,31,12,0,0,0,0,16.19475305741131
31,15,13,1,0,0,1,22.921676054505674
17,20,9,0,1,1,0,26.416044443670508
22,15,6,0,0,1,0,31.574413493630853
37,14,12,0,0,1,1,21.320877673962546
33,24,5,0,1,0,1,27.27129198202632
22,17,14,0,0,1,0,21.13269926047553
28,23,8,1,0,1,0,24.695519419223025
34,25,6,1,1,1,1,24.23166031663452
39,18,11,1,0,0,0,21.337924440058167
36,25,7,0,0,0,1,22.183360516888083
17,6,5,0,1,0,0,36.48400396534287
32,10,7,0,0,0,0,30.49216496099517
35,15,11,0,0,0,1,24.07994904739064
37,14,8,0,0,1,0,26.01586059670076
28,9,10,0,0,1,0,28.664179037838476
33,17,9,0,0,1,1,23.18229240822486
18,18,9,0,0,0,0,26.400923398042615
29,17,9,0,1,0,1,26.560517654296454
19,22,10,0,1,0,1,25.840441416771725
33,16,8,0,0,0,1,27.96138130069788
29,17,5,1,0,1,0,29.89497261098476
22,16,12,0,1,0,1,25.0085501800177
20,27,13,0,1,0,0,18.297547012249048
26,18,15,0,1,1,0,18.918760410955308
20,20,9,0,1,1,0,26.444702096454893
35,22,14,0,1,1,1,18.346335793407697
38,25,7,0,0,0,1,23.009854549305224
28,10,7,0,1,0,1,30.55812665001084
21,19,10,0,0,0,0,24.58432856992128
33,29,14,1,0,0,0,14.566553306938571
44,22,12,0,0,0,1,16.741779258124247
16,17,11,0,0,1,0,25.37613555032362
40,27,14,0,0,0,1,15.116156099306904
28,24,6,1,1,0,0,25.96137102166063
18,24,10,0,1,0,1,24.534700993082705
26,25,9,0,0,1,1,23.782249438168265
43,15,6,0,0,0,1,26.55872685444511
18,21,6,0,1,0,1,29.75770152116629
26,15,12,1,0,0,0,25.013011972539235
23,28,12,0,1,0,1,20.24538508240835
34,14,9,0,1,0,1,26.74596457893211
38,10,9,0,0,0,0,24.35475425477756
26,26,11,1,1,0,1,20.686482170234186
22,18,4,0,1,0,0,28.514972376543007
33,23,8,1,0,0,0,23.24657256517162
24,19,9,0,0,0,0,25.189022892498876
42,21,6,1,0,0,1,25.04909277815284
24,17,5,0,0,1,0,30.688790403513558
26,17,10,0,1,0,0,23.8539911427256
23,14,8,0,0,0,0,28.614430717300188
27,24,11,0,1,0,1,21.8778269996054
20,14,11,1,0,0,0,27.64479036787325
20,21,5,1,1,1,0,27.80328145278781
35,19,14,0,0,1,1,17.78568352330273
35,17,11,1,0,0,1,23.61725333065983
36,21,6,1,0,0,1,26.61314158571503
19,21,10,0,1,0,1,23.68028557003061
25,14,6,0,1,0,0,29.19250004114888
41,22,11,1,0,1,1,19.965970347838244
26,14,12,1,1,0,1,27.998945643141543
26,17,11,0,0,1,0,23.071324116411184
30,21,12,0,0,0,0,16.465992448688706
18,10,7,0,0,1,0,32.365035733656164
28,30,8,0,0,0,0,18.26646795836088
32,19,6,0,0,1,1,28.84605453093905
25,27,9,0,1,1,0,20.76525026803032
20,13,9,0,0,1,0,27.94005422865779
14,22,10,1,0,1,0,25.006762437911355
22,18,9,1,1,0,0,25.9884251030982
37,23,8,0,1,1,1,21.5835210272387
31,27,12,0,0,0,1,17.25010337021244
27,23,14,1,1,1,1,17.465310791809703
44,30,9,0,0,1,0,13.56541757503276
33,15,10,1,0,1,0,23.46964025709493
24,19,7,0,0,0,0,27.78827989671168
24,19,13,1,0,0,0,20.23958597066633
26,25,13,1,0,1,0,18.878326852490986
13,12,10,0,0,0,0,30.72060282519221
20,18,4,1,0,0,0,32.74027783295485
22,16,9,1,0,0,0,26.151531908372792
39,20,9,0,1,1,1,22.46866065248911
37,15,9,0,1,0,1,26.976316897736293
23,19,6,1,1,0,0,28.462456068965388
8,20,8,0,0,0,0,27.61795222187346
37,18,9,0,0,0,0,23.880141615719836
23,12,7,1,0,0,0,30.766606838547528
25,15,10,0,1,0,0,25.5737995114813
39,14,12,0,1,1,1,22.629484252887835
42,28,13,0,0,0,1,15.87994575890595
19,22,12,0,0,0,1,22.809842611090247
25,15,13,0,1,1,1,24.875628763775065
22,21,7,0,0,1,0,25.517920143409142
14,24,11,0,0,0,0,21.64752380878788
42,11,9,1,1,1,1,26.916803657638003
38,20,7,0,0,0,1,23.162087200254444
15,18,10,0,0,0,0,28.386553706949677
17,29,9,0,1,0,1,22.120577880580143
32,27,8,1,0,0,0,21.28627100899987
30,18,5,0,0,0,1,29.197279441620037
24,20,5,1,1,1,0,28.421004415035856
20,20,7,1,0,0,0,27.157128147299563
36,21,6,1,0,1,0,23.962212728006698
18,24,8,1,1,0,0,24.635747027832984
25,18,8,0,0,0,1,28.298941031841466
26,20,7,0,0,1,0,24.99088381249228
